261; 	  63.0234; 	  16187; 	  8.7; 	20.00; 	"";
262; 	  64.0319; 	  22865; 	 12.3; 	20.00; 	"12.30";
263; 	  65.0376; 	   4270; 	  2.3; 	20.00; 	"";
264; 	  66.0431; 	    111; 	  0.1; 	20.00; 	"";
265; 	  68.0182; 	    167; 	  0.1; 	20.00; 	"";
266; 	  68.7311; 	    168; 	  0.1; 	20.00; 	"";
267; 	  73.0031; 	    113; 	  0.1; 	20.00; 	"";
268; 	  73.0767; 	    129; 	  0.1; 	20.00; 	"";
269; 	  74.0153; 	   4514; 	  2.4; 	20.00; 	"";
270; 	  75.0215; 	 186383; 	100.0; 	20.00; 	"100.00";
271; 	  75.0976; 	   2663; 	  1.4; 	20.00; 	"";
272; 	  76.0272; 	  20196; 	 10.8; 	20.00; 	"10.80";
273; 	  77.0293; 	   1090; 	  0.6; 	20.00; 	"";
274; 	  79.0186; 	    395; 	  0.2; 	20.00; 	"";
275; 	  86.8840; 	    261; 	  0.1; 	20.00; 	"";
276; 	  89.0365; 	    104; 	  0.1; 	20.00; 	"";
277; 	  92.0259; 	  21350; 	 11.5; 	20.00; 	"11.50";
278; 	  93.0314; 	   1294; 	  0.7; 	20.00; 	"";
279; 	 102.8164; 	    148; 	  0.1; 	20.00; 	"";
280; 	 103.0537; 	    116; 	  0.1; 	20.00; 	"";
281; 	 120.0491; 	    114; 	  0.1; 	20.00; 	"";
282; 	 121.0469; 	    212; 	  0.1; 	20.00; 	"";
283; 	 122.0222; 	    483; 	  0.3; 	20.00; 	"";
284; 	 127.0578; 	    117; 	  0.1; 	20.00; 	"";
285; 	 132.9349; 	    101; 	  0.1; 	20.00; 	"";
286; 	 152.8700; 	    264; 	  0.1; 	20.00; 	"";
287; 	 220.3768; 	    257; 	  0.1; 	20.00; 	"";
288; 	 231.8676; 	    265; 	  0.1; 	20.00; 	"";
289; 	 238.4995; 	    134; 	  0.1; 	20.00; 	"";
290; 	 245.4312; 	    190; 	  0.1; 	20.00; 	"";
291; 	 357.7286; 	    210; 	  0.1; 	20.00; 	"";
292; 	 358.5149; 	    275; 	  0.1; 	20.00; 	"";
293; 	 491.6903; 	    271; 	  0.1; 	20.00; 	"";
294; 	 618.9238; 	    132; 	  0.1; 	20.00; 	"";
295; 	 664.3524; 	    258; 	  0.1; 	20.00; 	"";
296; 	  25.4139; 	    257; 	  0.2; 	40.00; 	"";
297; 	  38.0167; 	    514; 	  0.4; 	40.00; 	"";
